일자,시가,고가,저가,종가,거래량
2016-12-19,35620,36380,35620,35900,108716
2016-12-20,35920,36400,35840,36240,152304
2016-12-21,36360,36600,36020,36100,131042
2016-12-22,36260,36300,35980,36180,127092
2016-12-23,36020,36080,35600,35640,166697
2016-12-26,35600,36000,35560,35960,96472
2016-12-27,35980,36200,35860,35980,93069
2016-12-28,35840,35980,35600,35760,133258
2016-12-29,35420,36040,35400,36040,150329
2017-01-02,35980,36240,35880,36100,93012
2017-01-03,36280,36620,36020,36480,147153
2017-01-04,36500,36520,36100,36160,159435
2017-01-05,36060,36060,35540,35560,219349
2017-01-06,36180,36440,36040,36200,177619
2017-01-09,36600,37500,36560,37220,263898
2017-01-10,37280,37400,37080,37240,181996
2017-01-11,37520,38560,37420,38280,240363
2017-01-12,38000,38800,37980,38800,233383
2017-01-13,38100,38319,37460,37460,319089
2017-01-16,36860,37820,36320,36660,332230
2017-01-17,36580,37460,36580,36960,163014
2017-01-18,37040,37500,36620,36940,177508
2017-01-19,37720,37920,37020,37480,188378
2017-01-20,37120,37420,36880,37200,183700
2017-01-23,37200,38060,37000,38060,176208
2017-01-24,38120,38580,37880,38160,220975
2017-01-25,38340,39400,38320,39400,268677
2017-01-26,39420,40000,39420,39900,304290
2017-01-31,39900,39900,39460,39460,359844
2017-02-01,39540,39660,39039,39120,283008
2017-02-02,39600,39660,39200,39360,300586
2017-02-03,39400,39500,39180,39460,207727
2017-02-06,39580,39660,39140,39560,177214
2017-02-07,39560,39580,38760,38820,280836
2017-02-08,38740,38779,38200,38400,341859
2017-02-09,38779,38840,38219,38400,273883
2017-02-10,38400,38760,38300,38360,220415
2017-02-13,37740,38060,37720,37960,222041
2017-02-14,37960,38260,37320,37580,262483
2017-02-15,37080,37960,37080,37720,283831
2017-02-16,37800,38360,37780,38020,204527
2017-02-17,37560,38040,37280,37860,307549
2017-02-20,38220,38780,38160,38660,149716
2017-02-21,38540,39560,38420,38940,211252
2017-02-22,39000,39340,38980,39300,170789
2017-02-23,39020,39440,39020,39180,204346
2017-02-24,38960,39100,38060,38220,185937
2017-02-27,38020,38140,37700,38060,180674
2017-02-28,38059,38760,37960,38440,301774
2017-03-02,38420,39860,38420,39720,424996
2017-03-03,39340,39720,39160,39620,254174
2017-03-06,39220,40220,39220,40080,244697
2017-03-07,39800,40320,39800,40200,211065
2017-03-08,40200,40620,40140,40200,242819
2017-03-09,40200,40300,40020,40200,287445
2017-03-10,39960,40420,39860,40180,204556
2017-03-13,40039,40980,40039,40600,148482
2017-03-14,40620,41540,40500,41360,226501
2017-03-15,40800,41440,40800,41400,191757
2017-03-16,41800,42180,41540,41840,198663
2017-03-17,41800,42500,41720,42400,252046
2017-03-20,42000,42120,41740,41900,205001
2017-03-21,41780,42680,41760,42560,284403
2017-03-22,41600,42460,41580,42460,328545
2017-03-23,42200,42360,41700,41800,307942
2017-03-24,41600,41980,41080,41500,256163
2017-03-27,41200,41880,41180,41200,243553
2017-03-28,41560,41840,41380,41480,164325
2017-03-29,41740,41960,41580,41780,201865
2017-03-30,41880,42440,41880,41980,164080
2017-03-31,41820,42020,41200,41200,210006
2017-04-03,41400,41720,41300,41440,191588
2017-04-04,41600,42180,41520,42080,245110
2017-04-05,41900,42240,41700,42140,213994
2017-04-06,42000,42080,41600,41840,193668
2017-04-07,41800,41820,41160,41600,200420
2017-04-10,41940,41940,41500,41940,142827
2017-04-11,41940,41940,41580,41600,143458
2017-04-12,41860,41940,41700,41900,165498
2017-04-13,41660,42460,41660,42420,180816
2017-04-14,42160,42260,41760,42020,109257
2017-04-17,42000,42080,41520,41560,104495
2017-04-18,41680,41820,41280,41500,137213
2017-04-19,41299,41420,40900,40900,235258
2017-04-20,40580,40800,40080,40280,422977
2017-04-21,40480,41400,40480,40760,302610
2017-04-24,41260,41260,40920,41240,179803
2017-04-25,41460,42740,41320,42700,385992
2017-04-26,42700,42800,42520,42800,295896
2017-04-27,42700,44520,41960,43840,460645
2017-04-28,45780,45800,44520,44620,453714
2017-05-02,45500,45500,44760,44900,281366
2017-05-04,45700,45700,44860,45520,273802
2017-05-08,45520,47020,45340,47020,391651
2017-05-10,46160,47220,45600,45600,468219
2017-05-11,45420,46180,45220,45500,425557
2017-05-12,45760,46160,45660,45820,188458
2017-05-15,45620,46280,45620,46100,160028
2017-05-16,46660,46800,46100,46380,176075
2017-05-17,46120,46640,46100,46340,148489
2017-05-18,45740,46000,45540,45940,223207
2017-05-19,45640,45780,44720,44720,315247
2017-05-22,45040,45380,44760,45100,352871
2017-05-23,45400,45580,44900,44920,252141
2017-05-24,44860,45300,44800,44880,173508
2017-05-25,45160,45680,44800,45680,260896
2017-05-26,45600,46460,45540,46080,272273
2017-05-29,46220,46400,45380,45620,174791
2017-05-30,45520,45660,44480,44640,248672
2017-05-31,44580,45020,44400,44700,373382
2017-06-01,44860,44900,44400,44680,195070
2017-06-02,45060,45960,45000,45960,249775
2017-06-05,46040,46360,45720,45940,151988
2017-06-07,46500,46500,45240,45300,274588
2017-06-08,45000,45580,45000,45160,279575
2017-06-09,45680,46440,45600,46100,234657
2017-06-12,45420,45600,45140,45380,219086
2017-06-13,45140,45620,45140,45400,172498
2017-06-14,45800,46060,45240,45360,203334
2017-06-15,45680,45920,45180,45680,193140
2017-06-16,45500,45940,45460,45580,348069
2017-06-19,45580,46560,45560,46560,226078
2017-06-20,47240,48140,47220,48140,300900
2017-06-21,47740,48120,47480,47480,199473
2017-06-22,47960,48080,47720,47960,229116
2017-06-23,47600,47780,47420,47620,190302
2017-06-26,47520,48360,47520,48280,171056
2017-06-27,48220,48400,47900,48300,192335
2017-06-28,47600,48000,47560,47700,191450
2017-06-29,48040,48320,47940,47940,166131
2017-06-30,47500,47620,47100,47540,237551
2017-07-03,47500,47780,47120,47220,136111
2017-07-04,47160,47400,46900,47000,159220
2017-07-05,46820,47680,46780,47580,212805
2017-07-06,48000,48100,47720,48060,218461
2017-07-07,47740,48120,47620,47860,162638
2017-07-10,48500,48900,48320,48660,215855
2017-07-11,48640,49000,48280,49000,194356
2017-07-12,49000,50000,48840,49880,189723
2017-07-13,50080,50940,50040,50560,320683
2017-07-14,51000,51080,50420,50480,164780
2017-07-17,50900,51020,50520,50640,179522
2017-07-18,50420,50880,50360,50840,141689
2017-07-19,50620,50820,50000,50740,223150
2017-07-20,50760,51320,50560,51200,167352
2017-07-21,50860,51160,50520,51080,168981
2017-07-24,50700,51000,50620,50860,141995
